model,accuracy,macro_f1,weighted_kappa,roc_auc
Soft-Voting Ensemble,0.5239132928088084,0.327914901506791,0.3273476804300617,0.6856843554982859
Random Forest,0.3915586649845166,0.29886439649210256,0.3196715003797834,0.6827643584857217
Gradient Boosting,0.35818327789884163,0.2800350737884163,0.29036506824833164,0.6790141136086252
MLP,0.5380204151852277,0.27923890396622325,0.2578952801032285,0.6608380430607224
Naive Bayes,0.46725541919944946,0.27113950494418765,0.26643403478194616,0.6537193703505799
Decision Tree,0.32010551668769355,0.25199015818492226,0.23201183426990835,0.6172767598045903
Logistic Regression,0.30943915586649845,0.2462719754177891,0.2572885714077957,0.6607377028811017
