episode,reward,safety_violations
0,80.50556120151276,0
1,75.32235796669924,0
2,90.28754796670202,0
3,93.89935758976583,0
4,30.431871056085747,1
5,85.35568590477381,0
6,47.64722447083814,1
7,85.93038357215073,0
8,33.56980263924791,1
9,44.49158845405498,1
10,89.23398842056861,0
11,35.36878217176457,1
12,89.32433955255101,0
13,93.65317772447577,0
14,83.73965784357082,0
15,97.66936101614452,0
16,71.83912861754604,0
17,99.2491940568004,0
18,91.0016189483637,0
19,59.75479360568165,0
20,86.9740019990195,0
21,35.779202518824206,1
22,93.2305628926071,0
23,37.51152709434596,1
24,89.72198357624055,0
25,28.49514395589641,1
26,38.23189528515943,1
27,29.23714820644583,1
28,26.738973305454703,1
29,91.68554207130514,0
30,91.31510235866115,0
31,85.74724001546446,0
32,84.24847872518896,0
33,97.46467910923505,0
34,42.69230901897135,1
35,85.71954862278693,0
36,28.030088154349002,1
37,67.62828850941477,0
38,87.70749050865403,0
39,96.84795506421524,0
40,81.98277178459706,0
41,86.03365854940783,0
42,87.61984423102193,0
43,89.80332802802931,0
44,98.4238788926165,0
45,96.44321320279941,0
46,87.26375540772024,0
47,97.58120368343555,0
48,89.81614901685398,0
49,98.28045817041854,0
50,79.17965207065151,0
51,75.71259271577547,0
52,76.35292469489887,0
53,94.98407012179938,0
54,84.4611856961466,0
55,83.95192767546976,0
56,79.52596763960997,0
57,91.908294073678,0
58,77.6136040995678,0
59,92.87813143634456,0
60,88.31415934028568,0
61,76.32076793526758,0
62,38.2461668904351,1
63,28.965790213341293,1
64,90.09036990133683,0
65,73.23308743825129,0
66,89.24842216958214,0
67,84.69541738496049,0
68,93.26642722104643,0
69,87.21969556412861,0
70,97.40198838630609,0
71,87.59477197833051,0
72,69.28298193978907,0
73,85.11271290646013,0
74,84.27809771619886,0
75,81.71540016115432,0
76,95.79656550393804,0
77,40.944509859400746,1
78,93.45753149617221,0
79,90.74268191811525,0
80,85.45592189748221,0
81,91.928595062952,0
82,92.73215388098286,0
83,97.62207008820064,0
84,88.53211183520605,0
85,92.20371300606824,0
86,84.16600351602963,0
87,86.48381162558405,0
88,88.46313841455577,0
89,84.16379664656941,0
90,37.44835320989388,1
91,98.49709857461782,0
92,86.44039863203575,0
93,84.10223001563894,0
94,30.928091113370087,1
95,33.08936247362187,1
96,73.54233391429399,0
97,98.94224286342464,0
98,98.5515639981823,0
99,44.98258936157023,1
100,95.18075732272793,0
101,87.91995924671261,0
102,98.83727797293703,0
103,95.55119116154835,0
104,74.774058344928,0
105,91.96874834568277,0
106,85.24865939140449,0
107,33.752252477286795,1
108,83.8949888591351,0
109,93.66853911944355,0
110,81.19066614598057,0
111,94.17235278423674,0
112,86.0228551624244,0
113,58.39695159946257,0
114,33.8114757439612,1
115,93.0617726347136,0
116,96.80355598774987,0
117,98.41163408285698,0
118,91.32488451346147,0
119,98.99720350253146,0
120,88.08775148142212,0
121,86.02944417707025,0
122,95.2279149156289,0
123,87.07941274062102,0
124,88.90652677674795,0
125,85.17845237934505,0
126,98.2890038909134,0
127,41.98272318556867,1
128,73.96372141603311,0
129,38.026531358911875,1
130,91.90545841669294,0
131,97.42420546068105,0
132,94.58189705061588,0
133,94.38987112749592,0
134,88.80648737092608,0
135,85.74336363534285,0
136,84.91577778887995,0
137,83.19340406638409,0
138,97.64544582560168,0
139,85.27893779707355,0
140,79.66245358774583,0
141,81.23378953830267,0
142,98.90361794516252,0
143,90.40156028491674,0
144,76.34705721730283,0
145,75.97241815825652,0
146,86.36452810355199,0
147,92.40131550436968,0
148,42.855432585718575,1
149,84.17912982827767,0
150,45.18550097134928,1
151,68.36680274650796,0
152,76.04122157121458,0
153,98.12526098332732,0
154,96.59683805458387,0
155,81.30811616967239,0
156,88.68210271538325,0
157,81.50883586090983,0
158,39.78500713043971,1
159,21.387760475798494,1
160,92.23956797935722,0
161,84.98739503405079,0
162,93.27452808303404,0
163,92.93163119560441,0
164,44.51306068120991,1
165,81.78942948516924,0
166,91.61486493017901,0
167,81.94489773516642,0
168,84.09919532969143,0
169,73.61798298894853,0
170,39.17608552811502,1
171,26.62013773154836,1
172,90.25027945602524,0
173,96.93559009791157,0
174,36.58847210949027,1
175,96.42774393553455,0
176,88.79177653728223,0
177,99.10962955959604,0
178,88.1607051626902,0
179,66.05814990124452,0
180,84.49763243554004,0
181,47.8711192996301,1
182,84.85416314112447,0
183,76.14979623694647,0
184,99.39490522711462,0
185,87.85490646097617,0
186,90.83294763538979,0
187,85.60005805591804,0
188,46.10275378188612,1
189,92.46172817821977,0
190,90.03573363512626,0
191,34.52875908887587,1
192,95.16704022339503,0
193,97.95321053183821,0
194,68.2229200312777,0
195,92.56828243647726,0
196,96.34649498773358,0
197,90.35387377238274,0
198,89.34285860940876,0
199,63.423181985820435,0
200,82.18438011863563,0
201,87.05492813874407,0
202,86.38460347114386,0
203,73.33596970234035,0
204,67.3416076661064,0
205,42.53031452212664,1
206,44.4114167569186,1
207,98.85377262083091,0
208,88.24105370333753,0
209,24.62529035147461,1
210,99.33198938088583,0
211,86.95036899122127,0
212,86.63278356528895,0
213,91.8609971474111,0
214,83.17490321128238,0
215,67.1142445939214,0
216,89.23898564824779,0
217,77.58635887984519,0
218,88.3989852473823,0
219,93.9426784268312,0
220,77.78012533586448,0
221,75.9413892243972,0
222,39.59338582290664,1
223,81.49398887311179,0
224,78.18364942953775,0
225,81.2707676031294,0
226,15.477850573738024,1
227,88.20514151942143,0
228,90.33367332296373,0
229,94.52141917170249,0
230,40.07510603467297,1
231,85.81261185230068,0
232,92.20838264476052,0
233,75.23584481036198,0
234,74.72784023254249,0
235,85.22840171514075,0
236,75.50245549573218,0
237,87.22805828865224,0
238,86.82158808168373,0
239,21.303923999101563,1
240,98.6629046554425,0
241,79.54673695992959,0
242,88.46538429690648,0
243,84.30199324233209,0
244,87.40421060879028,0
245,49.375730702433245,1
246,77.86332559396693,0
247,95.86124090633261,0
248,74.71222798817078,0
249,97.84346679706245,0
250,70.16545485706536,0
251,79.38307503734843,0
252,82.73063199917675,0
