reward,throughput_reward,equity_penalty,equity_gap_steps,safety_violation_rate,filter_block_rate,discharged,method,seed,episode
83.58481501270823,83.58481501270823,0.0,0.18103834581652906,0.10416666666666667,0.16666666666666666,745,HC-MARL-Phase1(lambda=0.0),0,0
166.60111392155324,166.60111392155324,0.0,0.3518197150050106,0.0,0.0,788,HC-MARL-Phase1(lambda=0.0),0,1
163.05125229065848,163.05125229065848,0.0,0.25896089147561935,0.010416666666666666,0.0,824,HC-MARL-Phase1(lambda=0.0),0,2
156.3427749782897,156.3427749782897,0.0,0.1673274667182413,0.0,0.0,785,HC-MARL-Phase1(lambda=0.0),0,3
53.55491431899715,53.55491431899715,0.0,0.2611109335208686,0.14583333333333334,0.16666666666666666,783,HC-MARL-Phase1(lambda=0.0),0,4
58.545158723341395,58.545158723341395,0.0,0.24467785066644387,0.14583333333333334,0.0,807,HC-MARL-Phase1(lambda=0.0),0,5
64.82776197229481,64.82776197229481,0.0,0.2256932256932257,0.15625,0.16666666666666666,860,HC-MARL-Phase1(lambda=0.0),0,6
155.23165101946103,155.23165101946103,0.0,0.43526725758796675,0.020833333333333332,0.0,766,HC-MARL-Phase1(lambda=0.0),0,7
72.34399231822779,72.34399231822779,0.0,0.2425976111612968,0.13541666666666666,0.0,803,HC-MARL-Phase1(lambda=0.0),0,8
154.79812039116393,154.79812039116393,0.0,0.20939015939015937,0.03125,0.0,821,HC-MARL-Phase1(lambda=0.0),0,9
145.78696659549595,145.78696659549595,0.0,0.3028718143780906,0.020833333333333332,0.0,757,HC-MARL-Phase1(lambda=0.0),0,10
155.92487162785903,155.92487162785903,0.0,0.21978749775292594,0.010416666666666666,0.0,792,HC-MARL-Phase1(lambda=0.0),0,11
127.95667032894005,127.95667032894005,0.0,0.23763048065214765,0.0625,0.16666666666666666,805,HC-MARL-Phase1(lambda=0.0),0,12
138.08387571466434,138.08387571466434,0.0,0.29842071048908264,0.041666666666666664,0.0,786,HC-MARL-Phase1(lambda=0.0),0,13
159.4834830389339,159.4834830389339,0.0,0.2740487421383647,0.020833333333333332,0.16666666666666666,809,HC-MARL-Phase1(lambda=0.0),0,14
172.63783860081267,172.63783860081267,0.0,0.24799029799029804,0.0,0.0,846,HC-MARL-Phase1(lambda=0.0),0,15
168.30869029255064,168.30869029255064,0.0,0.1431091341360534,0.0,0.0,766,HC-MARL-Phase1(lambda=0.0),0,16
164.87995549759728,164.87995549759728,0.0,0.1604182395465969,0.0,0.0,757,HC-MARL-Phase1(lambda=0.0),0,17
85.46958807007191,85.46958807007191,0.0,0.17484755037213934,0.10416666666666667,0.0,780,HC-MARL-Phase1(lambda=0.0),0,18
88.85378985270737,88.85378985270737,0.0,0.1409438775510204,0.10416666666666667,0.0,790,HC-MARL-Phase1(lambda=0.0),0,19
121.26845951305319,121.26845951305319,0.0,0.22992229209811332,0.0625,0.3333333333333333,755,HC-MARL-Phase1(lambda=0.0),0,20
-39.28218377182388,-39.28218377182388,0.0,0.10588387022813253,0.2708333333333333,0.0,781,HC-MARL-Phase1(lambda=0.0),0,21
158.0529217188041,158.0529217188041,0.0,0.1870026525198939,0.0,0.0,776,HC-MARL-Phase1(lambda=0.0),0,22
169.57223169786306,169.57223169786306,0.0,0.2740456824077867,0.010416666666666666,0.0,782,HC-MARL-Phase1(lambda=0.0),0,23
157.95775460079136,157.95775460079136,0.0,0.3012652264620769,0.010416666666666666,0.0,792,HC-MARL-Phase1(lambda=0.0),0,24
161.0881464083302,161.0881464083302,0.0,0.3045749252190285,0.010416666666666666,0.0,790,HC-MARL-Phase1(lambda=0.0),0,25
100.62589079608045,100.62589079608045,0.0,0.1551932889388567,0.08333333333333333,0.16666666666666666,773,HC-MARL-Phase1(lambda=0.0),0,26
52.688044034219544,52.688044034219544,0.0,0.22689121208423169,0.15625,0.16666666666666666,825,HC-MARL-Phase1(lambda=0.0),0,27
64.59156240741008,64.59156240741008,0.0,0.27406081165975626,0.14583333333333334,0.16666666666666666,843,HC-MARL-Phase1(lambda=0.0),0,28
113.26420279847953,113.26420279847953,0.0,0.19267041120588035,0.08333333333333333,0.0,803,HC-MARL-Phase1(lambda=0.0),0,29
133.17462385434933,133.17462385434933,0.0,0.42430420840096605,0.0625,0.0,837,HC-MARL-Phase1(lambda=0.0),0,30
163.62691470702504,163.62691470702504,0.0,0.127393693361217,0.0,0.0,772,HC-MARL-Phase1(lambda=0.0),0,31
166.25147453255985,166.25147453255985,0.0,0.42961662276851037,0.0,0.0,794,HC-MARL-Phase1(lambda=0.0),0,32
158.59659169583537,158.59659169583537,0.0,0.42520118103398374,0.0,0.0,806,HC-MARL-Phase1(lambda=0.0),0,33
165.18089526004348,165.18089526004348,0.0,0.14096231637215245,0.010416666666666666,0.0,834,HC-MARL-Phase1(lambda=0.0),0,34
125.91543101592252,125.91543101592252,0.0,0.08724872337775563,0.0625,0.16666666666666666,768,HC-MARL-Phase1(lambda=0.0),0,35
130.29599687257573,130.29599687257573,0.0,0.31226704352928536,0.052083333333333336,0.0,813,HC-MARL-Phase1(lambda=0.0),0,36
168.35719914948984,168.35719914948984,0.0,0.3635778635778635,0.0,0.0,752,HC-MARL-Phase1(lambda=0.0),0,37
90.10940213432193,90.10940213432193,0.0,0.2846266166040885,0.11458333333333333,0.16666666666666666,773,HC-MARL-Phase1(lambda=0.0),0,38
165.68972168975174,165.68972168975174,0.0,0.23969994755922386,0.0,0.0,740,HC-MARL-Phase1(lambda=0.0),0,39
159.20589347068892,159.20589347068892,0.0,0.2842898857427737,0.010416666666666666,0.0,783,HC-MARL-Phase1(lambda=0.0),0,40
161.24488258473548,161.24488258473548,0.0,0.1881641294485331,0.0,0.0,804,HC-MARL-Phase1(lambda=0.0),0,41
146.17260686423998,146.17260686423998,0.0,0.4065934065934066,0.010416666666666666,0.0,827,HC-MARL-Phase1(lambda=0.0),0,42
160.78194669975525,160.78194669975525,0.0,0.2819899398846767,0.0,0.0,760,HC-MARL-Phase1(lambda=0.0),0,43
75.44309822197961,75.44309822197961,0.0,0.3493379920892754,0.11458333333333333,0.0,779,HC-MARL-Phase1(lambda=0.0),0,44
105.27245969063614,105.27245969063614,0.0,0.31672442561930436,0.07291666666666667,0.0,779,HC-MARL-Phase1(lambda=0.0),0,45
121.53307316979217,121.53307316979217,0.0,0.36843773303504845,0.0625,0.0,759,HC-MARL-Phase1(lambda=0.0),0,46
33.673096206576716,33.673096206576716,0.0,0.24778398397182932,0.1875,0.16666666666666666,804,HC-MARL-Phase1(lambda=0.0),0,47
105.83971861906095,105.83971861906095,0.0,0.2439798850574712,0.09375,0.0,790,HC-MARL-Phase1(lambda=0.0),0,48
91.21576951598797,91.21576951598797,0.0,0.3265671641791045,0.10416666666666667,0.0,817,HC-MARL-Phase1(lambda=0.0),0,49
149.97329421010429,149.97329421010429,0.0,0.14586818333890933,0.020833333333333332,0.0,777,HC-MARL-Phase1(lambda=0.0),0,50
