method,mean_reward,std_reward,mean_safety_violation_rate,mean_filter_block_rate,mean_equity_gap_steps
HC-MARL-NoFilter,125.68930580920696,45.382852332479914,0.049652777777777775,0.0,0.2608430812167076
HC-MARL-Phase1(lambda=0.0),122.09950794942344,47.17596745228354,0.050875,0.051555555555555556,0.21222117254519535
FCFS-Static,119.09043024374607,41.10241256596434,0.07020833333333333,0.008888888888888889,0.2670700152416052
HC-MARL-Phase2(lambda=2.5),111.44195957531109,63.57798937902968,0.05180555555555556,0.05222222222222222,0.2589410655658462
ESI-Proportional,65.33359840268876,67.64757895355343,0.1490138888888889,0.03177777777777777,0.2545940815815897
